id,category,product_name,brand,specs,price,image_array
110,laptop,HP 14-EM0018AU,HP,"R5 7530/8GB/512/W11+OHS21/14""FHD/BL/SILVER",7595,
111,laptop,HP 14-EM0019AU,HP,"R5 7530/8GB/512/W11+OHS21/14""FHD/BL/GOLD",7645,
112,laptop,HP 14-EM0167AU,HP,"R7 7730/16GB/512/W11+OHS21/14""FHD/BL/GOLD",10545,
113,laptop,HP 14-EM0168AU,HP,"R7 7730/16GB/512/W11+OHS21/14""FHD/BL/SILVER",10545,
114,laptop,HP 14-DQ3133TU 4GB,HP,"N4500/4GB/512/W11+OHS21/14""FHD/BL/SILVER",4845,
115,laptop,HP 14-DQ3133TU 8GB,HP,"N4500/8GB/512/W11+OHS21/14""FHD/BL/SILVER",5045,
116,laptop,HP 14-DQ3134TU,HP,"N4500/4GB/512/W11+OHS21/14""FHD/BL/GOLD",4845,
117,laptop,HP 14-DQ3135TU,HP,"N4500/4GB/512/W11+OHS21/14""FHD/BL/WHITE",4845,
118,laptop,HP 14-DQ3888TU,HP,"N4500/8GB/512/W11+OHS21/14""FHD/BL/SILVER",5045,
119,laptop,HP 14-DQ5115TU 4GB,HP,"I3 1215U/4GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",5790,
120,laptop,HP 14-DQ5115TU 8GB,HP,"I3 1215U/8GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",6020,
121,laptop,HP 14-DQ5127TU,HP,"I3 1215U/8GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",6095,
122,laptop,HP 14-EP0555TU,HP,"I3 1215U/8GB/512/W11+OHS21/14""FHD/BL/MOUSE Z3700/SILVER",6645,
123,laptop,HP 14-DQ5153TU,HP,"I5 1235U/8GB/256/W11+OHS21/14""FHD IPS/BL/SILVER",7695,
124,laptop,HP 14-DQ5227TU,HP,"I5 1235U/8GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",8095,
125,laptop,HP 14-DQ5156TU,HP,"I5 1235U/16GB/512/W11+OHS21/14"" FHD/BL/SILVER",8495,
126,laptop,HP 14-EP0001TU,HP,"I5 1335U/8GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",8495,
127,laptop,HP 14-EP0002TU,HP,"I5 1335U/8GB/512/W11+OHS21/14""FHD IPS/BL/BLUE",8495,
128,laptop,HP 15-FD0031TX VGA,HP,"I5 1334U/8GB/512/MX507A 2GB/W11+OHS21/15.6""FHD/BL/SILVER",11440,
129,laptop,HP 15-FD0032TX VGA,HP,"I5 1334U/8GB/512/MX507A 2GB/W11+OHS21/15.6""FHD/BL/BLUE",11390,
130,laptop,HP 14-DQ5155TU,HP,"I7 1255U/8GB/512/W11+OHS21/14""FHD IPS/BL/FP/SILVER",10445,
131,laptop,HP 14-DQ5154TU,HP,"I7 1255U/16GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",10845,
